Perekrestok,????????? ????????,??? ????,7/5/2019 11:50,??????? 1. ????????? ???????,?????????????? ????????,"@{if IsEmpty(Recipient.OnlyStandardFirstName)} @{set theme1 = ""?? ?????? ????????? ??????""}@{set theme2 = ""??????????, ????????? ?????""}@{set theme3 = ""????????? ? ??????? ? ????????? ?????""}@{ else }@{set theme1 = Recipient.OnlyStandardFirstName & "", ?? ?????? ????????? ??????""}@{set theme2 = Recipient.OnlyStandardFirstName & "", ??????????, ????????? ?????""}@{set theme3 = Recipient.OnlyStandardFirstName & "", ????????? ? ??????? ? ????????? ?????""}@{ end if }${ChooseRandomText(""???? ?????? ???? ? ???????"",""???????? ??, ??????????, ? ???? ?????!"",""? ??????? ??? ???? ??????, ??????? ????? ??????? ?????"",""??? ???????"",""??????? ?????!"",""?? ???????????? ?? ?????? ??, ??? ????? ??????? ???????!"",""??????????, ?? ?????? ?? ???????"",theme1, theme2, theme3)}",https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=2305843010287435776&hash=AB1563AC2DFD3E45AFCD26E1A400232D8023C0D6&format=Html,6511,6507,99.94%,2366,36.36%,600,9.22%,25.36%,5,0.08%,"713,122",173,"4,122.09",2.66%,109.5929799,,
Perekrestok,????????? ????????,??? ????,7/11/2019 13:50,???????_2_????????? ????????,?????????????? ????????,?????? ???????? ?????? ? ???? ????????,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-6917529022272372736&hash=DFFCF1A1FCCEC05252D7DC651C35361FD655A6BD&format=Html,314,314,100.00%,126,40.13%,20,6.37%,15.87%,1,0.32%,"16,734",4,"4,183.58",1.27%,53.29404459,,
Perekrestok,????????? ????????,??? ????,8/12/2019 21:43,"???????_4 ""????????? ???????? ?????????""",?????????????? ????????,?? ???-?? ??????? ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=3458764520799862784&hash=BB4380B55D6D9DDDB15EB123E7DFF6552750C75B&format=Html,2516,2513,99.88%,778,30.96%,132,5.25%,16.97%,4,0.16%,"103,441",25,"4,137.65",0.99%,41.16246319,,
Perekrestok,????????? ????????,??? ????,9/18/2019 14:10,(??? ??????),?????????????? ????????,????,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-7782220148445806592&hash=56FC83201517CA8A8D3702694E29B188B0B4CEAD&format=Html,2,2,100.00%,2,100.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,????????? ????????,??? ????,9/27/2019 12:49,"WP ""????????? ???????""",?????????????? ????????,??? ????,(blank),2392,2392,100.00%,1838,76.84%,84,3.51%,4.57%,0,0.00%,"53,795",14,"3,842.51",0.59%,22.48960284,,
Perekrestok,????????? ????????,??? ????,11/27/2019 10:30,??????? 17. ????????? ??????? ? ???????,?????????????? ????????,????? ?????? ?? ????? ?? ????? ???????!,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=8430738510121533440&hash=73C65FD1637E497507234D5ABBA4FEFCBB8C5793&format=Html,322,321,99.69%,163,50.78%,60,18.69%,36.81%,0,0.00%,"140,465",24,"5,852.69",7.48%,437.5843614,,
Perekrestok,DOI ? Welcome,??? ????,8/12/2019 20:06,Welcome 1. ??????????? ? ???????? NEW,?????????????? ????????,???????? ?? ?????? ??? ??????,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-3458764511136186368&hash=CA791D417BBFBE17FBA2519768E1FBEEBA4BE8F3&format=Html,3436,3432,99.88%,2373,69.14%,531,15.47%,22.38%,6,0.17%,"550,227",150,"3,668.18",4.37%,160.3226253,,
Perekrestok,DOI ? Welcome,??? ????,8/13/2019 11:56,???????_3_??????????? ? ????????? A,?????????????? ????????,?? ???????? ??? ?????? ? 500??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-5764607521423622144&hash=E675092E942E94D477F5CF4138C413543D4ECB2F&format=Html,567,566,99.82%,190,33.57%,23,4.06%,12.11%,2,0.35%,"4,591",1,"4,591.00",0.18%,8.11130742,,
Perekrestok,DOI ? Welcome,??? ????,10/22/2019 12:12,???????_3_??????????? ? ????????? ?,?????????????? ????????,?? ??? ? ?? ??????????????? ???????... ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-1873497444784799744&hash=9C3BB5A8B0D21D299641D308A8703DDF2258A922&format=Html,599,599,100.00%,196,32.72%,24,4.01%,12.24%,1,0.17%,"13,147",4,"3,286.75",0.67%,21.94824708,,
Perekrestok,DOI ? Welcome,??? ????,10/29/2019 14:46,???????_12_??????????? ? ????????? NEW_2,?????????????? ????????,"@{ if IsEmpty(Recipient.OnlyStandardFirstName) }?????????????? ??????? ?? ?????? ????? ??@{ else } ${ Recipient.OnlyStandardFirstName }, ?????????????? ??????? ?? ?????? ????? ??@{end if}",https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-3602879700084457472&hash=5839D4B4AEC78055B9464E48307F95108D71DDD1&format=Html,900,897,99.67%,407,45.37%,54,6.02%,13.27%,1,0.11%,"81,106",22,"3,686.62",2.45%,90.41888517,,
Perekrestok,DOI ? Welcome,??? ????,10/29/2019 15:49,???????_13_??????????? ? ????????? NEW_3,?????????????? ????????,? ??? ??????? ??? ???? ????????!,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=3314649331851591680&hash=63B02D1FD1FE20A15293A30B92CC4C28606327C0&format=Html,36,36,100.00%,13,36.11%,3,8.33%,23.08%,0,0.00%,"3,876",2,"1,938.00",5.56%,107.6666667,,
Perekrestok,DOI ? Welcome,??? ????,11/29/2019 11:12,??? ???????? ??? ?????! (Facebook Leads),?????????????? ????????,??? ???????? ??? ?????!,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=2089670231831085056&hash=E0E3F36C619022636F957738D2F29EF9D36F9BF2&format=Html,1,1,100.00%,1,100.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,DOI ? Welcome,??? ????,12/11/2019 17:56,NY landing 2020 DOI,?????????????? ????????,"??????????, ??????????? email",https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=5980780306322423808&hash=588CA2F1BB6C348176A86BE684D60A2AFF2E7D42&format=Html,2982,2859,95.88%,1586,55.47%,1398,48.90%,88.15%,5,0.17%,"85,135",23,"3,701.52",0.80%,29.77791186,,
Perekrestok,DOI ? Welcome,??? ????,12/11/2019 18:01,NY landing 2020 DOI promocode,?????????????? ????????,??? ???????? ??? ?????!,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=3674937299256213504&hash=153CCA4B531A0E58D9519FD52148987A130FBFE7&format=Html,3377,3375,99.94%,2093,62.01%,258,7.64%,12.33%,4,0.12%,"59,671",13,"4,590.05",0.39%,17.68019852,,
Perekrestok,DOI ? Welcome,??? ????,11/29/2019 10:37,"??????????, ??????????? ???????? (Facebook Leads)",?????????????? ????????,"??????????, ??????????? ????????",https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-1369094286284423168&hash=B53E842EB384F48AD4E659387BCC45918D567717&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,???????????,??? ????,8/14/2019 9:09,"???????_5 ""???????????""",?????????????? ????????,"????????: ?? ????????, ????????? ??? ????????",https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-1152921500848750592&hash=982D5D358FD259C36ECE582BEBF2AC5505D3088E&format=Html,5037,5033,99.92%,609,12.10%,32,0.64%,5.25%,9,0.18%,"4,831",1,"4,830.84",0.02%,0.959833102,,
Perekrestok,????? ???????? ? ???????,??? ????,10/14/2019 15:38,???????_7_????? ???????? ? ???????,?????????????? ????????,??????? ?????! ?,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=432345567247466496&hash=F8F9B1AA59C86561351365C996683213BEF08839&format=Html,3,3,100.00%,2,66.67%,1,33.33%,50.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,????? ????????,??? ????,10/17/2019 16:33,Email ????? ????????,?????????????? ????????,?????? 15% ?? ???? ?????! ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-4179340447958695936&hash=D9C2CB85D4D76B3C6BF8B2CBA51DF7A5172B85A8&format=Html,766,765,99.87%,258,33.73%,49,6.41%,18.99%,0,0.00%,"85,777",16,"5,361.06",2.09%,112.1267974,,
Perekrestok,??? ????,??? ????,10/25/2019 12:37,Email trig_water_reminder,?????????????? ????????,???? ????????? ?????? ????! ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=8502796104193015808&hash=BE63888613A69F2E190D1656C27A780C1C595DEE&format=Html,710,710,100.00%,225,31.69%,32,4.51%,14.22%,0,0.00%,"39,586",10,"3,958.57",1.41%,55.75443662,,
Perekrestok,??? ????,??? ????,10/25/2019 12:33,WP water_reminder,?????????????? ????????,??? ????,(blank),92,92,100.00%,57,61.96%,4,4.35%,7.02%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????? ???????,??? ????,10/31/2019 10:45,"???????_14_ ""?????? ???????""",?????????????? ????????,"@{ if IsEmpty(Recipient.OnlyStandardFirstName) }????????? ???????, ??? ? ????????!??@{ else } ${ Recipient.OnlyStandardFirstName }, ????????? ???????, ??? ? ????????!??@{end if}",https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=6773413846477438976&hash=6262B77BB9675EFDC2E9432FA83D6DE45F48B4D8&format=Html,403,402,99.75%,106,26.37%,17,4.23%,16.04%,1,0.25%,"21,492",9,"2,388.00",2.24%,53.46268657,,
Perekrestok,????????&Tefal,??? ????,11/14/2019 16:25,??????? ???????? + Tefal,?????????????? ????????,???????? ? ??????!,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-8574853687795515392&hash=841A833DA5098E81C75BB2F867226F3536937899&format=Html,704,702,99.72%,425,60.54%,133,18.95%,31.29%,1,0.14%,"113,790",31,"3,670.64",4.42%,162.0936895,,
Perekrestok,????,??? ????,11/18/2019 11:27,DOI ????,?????????????? ????????,??? ???????? ?? ?????????? ???????? ? ??????! ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=7566047382069051392&hash=CE86DF52282DEF229D1061AD3A2A92823C51F466&format=Html,13,12,92.31%,11,91.67%,9,75.00%,81.82%,0,0.00%,"2,018",1,"2,018.00",8.33%,168.1666667,,
Perekrestok,????,??? ????,11/18/2019 11:33,???? ???????,?????????????? ????????,??? ???????? ?? ?????????? ???????? ? ??????! ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-1657324662570352640&hash=8456E199A70CAE68011D13A7D30E4C608EDE8EEA&format=Html,8,8,100.00%,8,100.00%,3,37.50%,37.50%,0,0.00%,"4,999",1,"4,999.00",12.50%,624.875,,
Perekrestok,????,??? ????,12/3/2019 12:54,????? ???? SMS,?????????????? ????????,??? ????,(blank),611,608,99.51%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,????,??? ????,12/3/2019 16:30,Web-push 031319_elki,?????? ????????,??? ????,(blank),0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,????,??? ????,12/3/2019 16:30,031319_elki,?????? ????????,???????! ????? ?????? ????? ???? ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-216172781140705280&hash=1BFCC52150ADB05679D1A7A5F731FC0B96C64CB8&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,Babyblog,??? ????,11/26/2019 18:11,?????? ? ?????????? Babyblog (??? ?????),?????????????? ????????,??? ???????? ??? ?????!,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-5404319549455597568&hash=8A467AE6E853DC66DF0BD8079FEB8B63A2F9A848&format=Html,8,8,100.00%,5,62.50%,1,12.50%,20.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,Babyblog,??? ????,11/26/2019 16:02,DOI BabyBlog,?????????????? ????????,"??????????, ??????????? email",https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-1945555038856282112&hash=79CA38781D28B5C024C2CF1F014AE455456AF126&format=Html,18,18,100.00%,9,50.00%,8,44.44%,88.89%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?? ?????? ??????,??? ????,12/9/2019 14:40,???????????? ???????? ?? ?????? — ? ??????! ??,?????????????? ????????,???????????? ???????? ?? ?????? — ? ??????! ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=2522015795521781760&hash=C6035C8F2847778F6E1193AE67A47A2EEE06C584&format=Html,112,112,100.00%,37,33.04%,2,1.79%,5.41%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,12/10/2019 17:29,SMS ? ???????,?????????????? ????????,??? ????,(blank),2610,2596,99.46%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,A/B ???? ??? ????????,??? ????,12/16/2019 19:01,SMS ??? ??????,?????? ????????,??? ????,(blank),227,203,89.43%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,A/B ???? ??? ????????,??? ????,12/16/2019 19:01,SMS ? ???????,?????? ????????,??? ????,(blank),233,205,87.98%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,A/B ???? ??? ????????,??? ????,12/16/2019 20:01,???????? ? ???????,?????? ????????,????????????? ? ????????! ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=1945555047177781248&hash=225830707C9A5F4BDA7AF23DB6D7F9927539434B&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,A/B ???? ??? ????????,??? ????,12/16/2019 20:01,???????? ??? ??????,?????? ????????, ????????? ???? ?????! ?,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-7277816997461622784&hash=54B6CEEC4969CB88A5F61F75E56DD9FB379C7F97&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,12/17/2019 19:00,171219_elki,?????? ????????,?????????? ???? ?? ?????? ? ????? ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=4251398055049297920&hash=C5F31F092C0E2C2A5D25062E6754E78D44420A45&format=Html,200642,198025,98.70%,27927,14.10%,5507,2.78%,19.72%,251,0.13%,"1,713,696",393,"4,360.55",0.20%,8.653936776,,
Perekrestok,?????????? ????????,??? ????,12/18/2019 17:31,18122019_??????? ??????? ? ??????? — ???…,?????? ????????,??????? ??????? ? ??????? — ???…,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=8863084072402944000&hash=9A49940D2AF4A7BA4A594C958F25003EB33C630E&format=Html,200958,198561,98.81%,36723,18.49%,5857,2.95%,15.95%,418,0.21%,"2,903,502",665,"4,366.17",0.33%,14.62271811,,
Perekrestok,?????????? ????????,??? ????,12/18/2019 19:38,sms beauty_181219,?????? ????????,??? ????,(blank),21619,21189,98.01%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,10/2/2019 17:40,021019_teachersday,?????? ????????,???? ??? ???????? ????,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-3314649322993221632&hash=B9BBB6991F03F5AEA66DD21844862D94490EB647&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,10/17/2019 11:01,171019_partnerpromo,?????? ????????,???????????-?????? ????? ?????????!,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-8791026465312342016&hash=612AE708693A9FF340B9109D04FBDA469489884C&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/6/2019 17:08,????????? 45 ??????,?????? ????????,?? ????????? ?? ??? ????????? ???????! ?? ,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-9151314439662731264&hash=51FDB7E3DF2A4762716D4094B76ABE8CE78B47E5&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/13/2019 13:00,131119_italy,?????? ????????,"@{ if IsEmpty(Recipient.OnlyStandardFirstName) }??????? ? ??????? ??????@{ else } ${ Recipient.OnlyStandardFirstName }, ??????? ? ??????? ??????@{end if}",https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-7998392936028962816&hash=E999407D2FF84C52108918D95B322EF7C28D4850&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/15/2019 10:36,151119_chek_7000,?????? ????????,????? ???? ?????????? ???????! ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=5260204371781615616&hash=DFE759A65E4F50798E177C979A06491B9232EE74&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/15/2019 10:46,151119_chek_5000,?????? ????????,????? ???? ?????????? ???????! ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=8142508133835603968&hash=153720F91A103C9BF290DB2BF6DD868B84C0702F&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/19/2019 18:51,191119_mans_day,?????? ????????,?? ???????????? ? ?????????,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-2810246166103457792&hash=E325C1085165AB2F1198DFA7280EA056A31284FA&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/25/2019 9:30,251119_BF_tovari1 ?????????,?????? ????????,"???????, ????????… ?????? ?? 1 ????? ??",https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=8718968886407462912&hash=D17C4A069A40C3301356F24899DDF70012E0673D&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/25/2019 9:30,251119_BF_tovari1 ?????,?????? ????????,"???????, ????????… ?????? ?? 1 ????? ??",https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=4971973995898339328&hash=B0F007D0B154ECE22666E4A46D412BBFECC8B4E5&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/25/2019 9:30,251119_BF_tovari1 ?????????,?????? ????????,"???????, ????????… ?????? ?? 1 ????? ??",https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-4251398046325145600&hash=34A2E846ACE14716788B05C2A92DD24DCAFFF67B&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/25/2019 10:00,Web-push ?????? ??????? ??????????_??? ?????????,?????? ????????,??? ????,(blank),0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/26/2019 11:04,261119_chek_7000,?????? ????????,?? ????? ??? ?????????? ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=2666130985610903552&hash=4D1CDD09C7EA1FDC4E453396BCE7D75B8626DEE8&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/26/2019 11:10,261119_chek_5000,?????? ????????,?? ????? ??? ?????????? ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-5116089173169668096&hash=2B65FA8999044B69714893012F3E0F796215461A&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/27/2019 10:59,????? Web-push ?????? ??????? ???????????? ???,?????? ????????,??? ????,(blank),0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/27/2019 17:39,271119_BF_tovari1_dootpravka2,?????? ????????,????????? ?????? ??????? ?? 1? ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-5980780301222150144&hash=17AB43304F93E26B9F2B7ED77D313627A3F8BAF2&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/29/2019 16:00,291119_BF_tovari1,?????? ????????,?????? ?? 1? ???? ??? ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=7854277758354980864&hash=6DE64E8EF58F9175F65B86B8E7C3CAA6F9AEB616&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/30/2019 17:56,????? 301119_BF_tovari2,?????? ????????,?????? ?? 1? ???? ??? ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=6701356252405956608&hash=010ECB80A62D35BA201862ED6093AB719BC8644F&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,?????????? ????????,??? ????,11/30/2019 18:08,Web-push ?????? ??????? ???????????? ?????,?????? ????????,??? ????,(blank),0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,NY 2020,??? ????,12/20/2019 12:47,??? ??? ???????! ???????? ?????? ??,?????????????? ????????,??? ??? ???????! ???????? ?????? ??,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-8718968877683310592&hash=35491D37623028A151AC4EB155B30513DEA1C282&format=Html,2196,2191,99.77%,1207,55.09%,128,5.84%,10.60%,0,0.00%,"24,238",6,"4,039.61",0.27%,11.06236422,,
Perekrestok,NY 2020,??? ????,12/23/2019 19:51,?? ??????? ???? ?? ????! ?????? ?? 50%,?????? ????????,?? ??????? ???? ?? ????! ?????? ?? 50%,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=2810246174827610112&hash=C4678F7BA8150DD6260071604C05583B38CAC482&format=Html,202931,200573,98.84%,35661,17.78%,5941,2.96%,16.66%,249,0.12%,"1,447,405",368,"3,933.17",0.18%,7.216352151,,
Perekrestok,NY 2020,??? ????,12/15/2019 11:01,????? ????? ???????? ?? ????? ???? ????,?????? ????????,????? ????? ???????? ?? ????? ???? ????,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=8286623314999246848&hash=213194C9F66D834BEF04DAD5902FC5A44E8A4CE2&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
Perekrestok,??????????? ????????,??? ????,8/29/2019 12:01,"???????_6 ""?????? ?? ??""",?????????????? ????????,??????? ? ?????? ??? ????????! ????,https://email-services.mindbox.ru/v1/projects/1309/email/previewtemplate/?uniqueKey=-2882303754269360128&hash=83E00A1F20D0A0A6BCA7C12F1B0A925864BA2635&format=Html,0,0,0.00%,0,0.00%,0,0.00%,0.00%,0,0.00%,0,0,0.00,0.00%,0,,
